DATE,TIME,PICK UP ADDRESS
7/1/2014,3:57:00 AM,liffy 2 bar 5009 Broadway NYC
7/1/2014,3:57:00 AM,liffy 2 bar 5009 Broadway NYC
7/1/2014,3:59:00 AM, 99 Marble Hill Ave NYC
7/1/2014,3:59:00 AM, 602 W 190 St NYC
7/1/2014,4:00:00 AM, 38 Sickles St NYC
7/1/2014,4:00:00 AM, 128 Fort Washington Ave NYC
7/1/2014,4:02:00 AM," 2338 Hughes Ave Fordham, BX"
7/1/2014,4:06:00 AM,vacca lounge   W 203 St NYC
7/1/2014,4:11:00 AM, 514 W 211 St NYC
7/1/2014,4:13:00 AM, 51 Bennett Ave NYC
7/1/2014,4:14:00 AM," 144 Van Cortlandt Park S Kingsbridge, BX"
7/1/2014,4:16:00 AM,mimosa 263 Sherman Ave NYC
7/1/2014,4:16:00 AM,mimosa 263 Sherman Ave NYC
7/1/2014,4:24:00 AM," 144 Van Cortlandt Park S Kingsbridge, BX"
7/1/2014,4:28:00 AM,vacca lounge   W 203 St NYC
7/1/2014,4:28:00 AM, 1975 Sedgwick Ave Bronx
7/1/2014,4:29:00 AM,el jobo  nw W 207 St NYC
7/1/2014,4:30:00 AM, 260 Seaman Ave NYC
7/1/2014,4:30:00 AM, 580 W 215 St NYC
7/1/2014,4:31:00 AM," 2680 Heath Ave Kingsbridge, BX"
7/1/2014,4:32:00 AM,base  4980 Broadway NYC
7/1/2014,4:32:00 AM, 47 W 66 St NYC
7/1/2014,4:34:00 AM, 661 W 179 St NYC
7/1/2014,4:41:00 AM," 5639 Netherland Ave Riverdale, BX"
7/1/2014,4:42:00 AM, 685 Academy St NYC
7/1/2014,4:44:00 AM,laundrymat  nw Broadway NYC
7/1/2014,4:49:00 AM," 116 W 238th St Kingsbridge, BX"
7/1/2014,4:55:00 AM, 325 E 88 St NYC
7/1/2014,4:56:00 AM, 116 Sherman Ave NYC
7/1/2014,4:59:00 AM," 511 W 232nd St Kingsbridge, BX"
7/1/2014,5:02:00 AM, 2 Adrian Ave NYC
7/1/2014,5:06:00 AM,base  4980 Broadway NYC
7/1/2014,5:09:00 AM,base  4980 Broadway NYC
7/1/2014,5:09:00 AM,base  4980 Broadway NYC
7/1/2014,5:15:00 AM, 230 W 147 St New York
7/1/2014,5:20:00 AM," 2518 Webb Ave Jerome, BX"
7/1/2014,5:22:00 AM," 212 W Kingsbridge Rd Kingsbridge, BX"
7/1/2014,5:25:00 AM, 572 W 187 St NYC
7/1/2014,5:29:00 AM, 176 Nagle Ave NYC
7/1/2014,5:30:00 AM, 40 Richman Plz Bronx
7/1/2014,5:31:00 AM, 590 W 172 St NYC
7/1/2014,5:31:00 AM, 4848 Broadway NYC
7/1/2014,5:33:00 AM," 3045 Godwin Ter Kingsbridge, BX"
7/1/2014,5:35:00 AM," 2500 Johnson Ave Kingsbridge, BX"
7/1/2014,5:36:00 AM, 101 Cooper St NYC
7/1/2014,5:38:00 AM, 192 Nagle Ave NYC
7/1/2014,5:42:00 AM," 2810 Morris Ave Jerome, BX"
7/1/2014,5:45:00 AM,base  4980 Broadway NYC
7/1/2014,5:45:00 AM," 140 Asch Lp Co-Op City, BX"
7/1/2014,5:47:00 AM,CHASE NW Vermilyea Ave NYC
7/1/2014,5:49:00 AM, 480 Audubon Ave NYC
7/1/2014,5:50:00 AM, 4996 Broadway NYC
7/1/2014,5:57:00 AM, 615 Fort Washington Ave NYC
7/1/2014,5:57:00 AM," 2500 Webb Ave Jerome, BX"
7/1/2014,6:01:00 AM, 541 W 211 St NYC
7/1/2014,6:01:00 AM, 25 Nagle Ave NYC
7/1/2014,6:04:00 AM," 160 W Kingsbridge Rd Kingsbridge, BX"
7/1/2014,6:09:00 AM, 10 Park Ter E NYC
7/1/2014,6:09:00 AM,credicard 5025 Broadway NYC
7/1/2014,6:10:00 AM, 502 W 149 St NYC
7/1/2014,6:15:00 AM," 130 Van Cortlandt Ave W Kingsbridge, BX"
7/1/2014,6:17:00 AM, 510 W 218 St NYC
7/1/2014,6:19:00 AM, 560 Isham St NYC
7/1/2014,6:19:00 AM," 183 W 238th St Kingsbridge, BX"
7/1/2014,6:19:00 AM," 1135 University Ave High Bridge, BX"
7/1/2014,6:22:00 AM, 33 Indian Rd NYC
7/1/2014,6:23:00 AM, 570 W 204 St NYC
7/1/2014,6:24:00 AM, 97 Arden St NYC
7/1/2014,6:25:00 AM, 631 W 207 St NYC
7/1/2014,6:28:00 AM, 30 Sickles St NYC
7/1/2014,6:28:00 AM, 251 Seaman Ave NYC
7/1/2014,6:29:00 AM, 129 Sherman Ave NYC
7/1/2014,6:29:00 AM, 608 W 189 St NYC
7/1/2014,6:30:00 AM, 65 Park Ter E NYC
7/1/2014,6:30:00 AM," 520 E 156th St South Bronx, BX"
7/1/2014,6:32:00 AM, 2820 Bailey Ave Bronx
7/1/2014,6:36:00 AM," 233 W 233rd St Kingsbridge, BX"
7/1/2014,6:37:00 AM, 64 W 192nd St Bronx
7/1/2014,6:37:00 AM, 1981 sedwick av Bronx
7/1/2014,6:37:00 AM, 131 Nagle Ave NYC
7/1/2014,6:40:00 AM, 64 West 192nd St Bronx
7/1/2014,6:40:00 AM," 3150 Kingsbridge Ave Kingsbridge, BX"
7/1/2014,6:41:00 AM, 100 overlook 2da puerta NYC
7/1/2014,6:41:00 AM, 101 Sherman Ave NYC
7/1/2014,6:45:00 AM, 2865 kingbrige terrace Bronx
7/1/2014,6:45:00 AM, 3758 10 Ave NYC
7/1/2014,6:45:00 AM, 940 Amsterdam Ave New York
7/1/2014,6:49:00 AM, 229 Seaman Ave NYC
7/1/2014,6:50:00 AM, 502 w 213 st  NYC
7/1/2014,6:52:00 AM," 2830 Sedgwick Ave Jerome, BX"
7/1/2014,6:53:00 AM, 2 Adrian Ave NYC
7/1/2014,6:55:00 AM, 235 Wadsworth Ave New York
7/1/2014,6:56:00 AM, 616 W 207 St NYC
7/1/2014,7:00:00 AM, 1825 Bruckner Blvd Bronx
7/1/2014,7:00:00 AM, 1060 University Ave Bronx
7/1/2014,7:05:00 AM," 5240 Broadway Kingsbridge, BX"
7/1/2014,7:07:00 AM," 3018 Kingsbridge Ave Kingsbridge, BX"
7/1/2014,7:07:00 AM, 45 Park Ter W NYC
7/1/2014,7:08:00 AM, 171 Audubon Ave NYC
7/1/2014,7:13:00 AM," 641 W 230th St Kingsbridge, BX"
7/1/2014,7:14:00 AM," 3256 Riverdale Ave Kingsbridge, BX"
7/1/2014,7:15:00 AM," 1500 Popham Ave Morris Heights, BX"
7/1/2014,7:16:00 AM, 1051 Riverside Dr NYC
7/1/2014,7:18:00 AM, 252 Sherman Ave NYC
7/1/2014,7:22:00 AM," 3242 Corlear Ave Kingsbridge, BX"
7/1/2014,7:22:00 AM, 130 W 228 St NYC
7/1/2014,7:23:00 AM,front 150 W 225 St NYC
7/1/2014,7:23:00 AM, 2840 Bailey Ave Bronx
7/1/2014,7:25:00 AM, 235 Seaman Ave NYC
7/1/2014,7:26:00 AM, 67 Park Ter E NYC
7/1/2014,7:27:00 AM, 675 Academy St NYC
7/1/2014,7:29:00 AM, 4871 Broadway NYC
7/1/2014,7:29:00 AM, 512 W 218 St NYC
7/1/2014,7:30:00 AM," 2119 Bleecker St Ridgewood, QU"
7/1/2014,7:30:00 AM," 2251 Sedgwick Ave Jerome, BX"
7/1/2014,7:30:00 AM, 1150 Metcalf Ave Bronx
7/1/2014,7:30:00 AM, 870 Rosedale Ave Bronx
7/1/2014,7:30:00 AM, 1561 Unionport Rd Bronx
7/1/2014,7:30:00 AM, 230 W 131 St New York
7/1/2014,7:30:00 AM, 4229 Carpenter Ave Bronx
7/1/2014,7:30:00 AM," 710 Croes Ave Clason Point, BX"
7/1/2014,7:30:00 AM," 1315 Thieriot Ave Soundview, BX"
7/1/2014,7:31:00 AM, 501 W 189 St NYC
7/1/2014,7:31:00 AM, 545 W 133 St NYC
7/1/2014,7:31:00 AM, 3170 Broadway NYC
7/1/2014,7:32:00 AM," 1194 Sherman Ave Morrisania, BX"
7/1/2014,7:33:00 AM, 3451 Giles Pl Bronx
7/1/2014,7:33:00 AM,"garden gourmrt 5710 Broadway Kingsbridge, BX"
7/1/2014,7:33:00 AM, 2374 amsterdam ave NEW YORK
7/1/2014,7:34:00 AM, 1365 Saint Nicholas Ave NEW YORK
7/1/2014,7:35:00 AM, 514 W 211 St NYC
7/1/2014,7:35:00 AM," 960 Sherman Ave Morrisania, BX"
7/1/2014,7:35:00 AM, 40 East 169th St Bronx
7/1/2014,7:37:00 AM, 119 Audubon Ave NYC
7/1/2014,7:37:00 AM," 3555 Oxford Ave Kingsbridge, BX"
7/1/2014,7:39:00 AM, 128 Fort Washington Ave NYC
7/1/2014,7:39:00 AM, 541 W 204 St NYC
7/1/2014,7:41:00 AM, 678 Academy St NYC
7/1/2014,7:41:00 AM,towncar// credit card 261 Seaman Ave NYC
7/1/2014,7:41:00 AM, 3840 Orloff Ave Bronx
7/1/2014,7:42:00 AM, 83 Park Ter W NYC
7/1/2014,7:42:00 AM, 541 Isham St NYC
7/1/2014,7:43:00 AM, 52 Arden St NYC
7/1/2014,7:43:00 AM," 2087 Creston Ave Morris Heights, BX"
7/1/2014,7:44:00 AM, 4640 Broadway NYC
7/1/2014,7:45:00 AM," 114   W 183rd St Morris Heights, BX"
7/1/2014,7:45:00 AM, 744 Beck St Bronx
7/1/2014,7:45:00 AM, 740 E 178th St Bronx
7/1/2014,7:45:00 AM, 2280 Loring Pl N Bronx
7/1/2014,7:45:00 AM, 3034 Albany Crescent Bronx
7/1/2014,7:45:00 AM," 1202 Spofford Ave Hunts Point, BX"
7/1/2014,7:46:00 AM, 577 Isham St NYC
7/1/2014,7:46:00 AM,parte de alente 159-38 8AV NYC
7/1/2014,7:48:00 AM," 210 W 230th St Kingsbridge, BX"
7/1/2014,7:50:00 AM, 499 Fort Washington Ave NYC
7/1/2014,7:50:00 AM,"1-3-F // CREDITY CARD 2400 Sedgwick Ave Jerome, BX"
7/1/2014,7:52:00 AM,salida x 217 75 Park Ter E NYC
7/1/2014,7:53:00 AM, 505 W 211 St NYC
7/1/2014,7:54:00 AM, 617 W 141 St NYC
7/1/2014,7:55:00 AM, 144 Seaman Ave NYC
7/1/2014,7:55:00 AM, 3080 Park Ave Bronx
7/1/2014,7:55:00 AM, 222 Seaman Ave NYC
7/1/2014,7:56:00 AM," 2871 Heath Ave Kingsbridge, BX"
7/1/2014,7:56:00 AM, 560 Isham St NYC
7/1/2014,7:57:00 AM," 3155 Villa Ave Jerome, BX"
7/1/2014,7:59:00 AM," 70 Marble Hill Ave Kingsbridge, BX"
7/1/2014,7:59:00 AM, 5085 Broadway NYC
7/1/2014,8:00:00 AM, 429 W 58th St New York
7/1/2014,8:00:00 AM," 950 Union Ave Foxhurst, BX"
7/1/2014,8:00:00 AM,Academy 66 Vermilyea Ave New York
7/1/2014,8:00:00 AM, 2903 Valentine Ave Bronx
7/1/2014,8:00:00 AM,"salida por la 187 2375 Southern Blvd Westfarms, BX"
7/1/2014,8:00:00 AM, 30 W 141 St New York
7/1/2014,8:00:00 AM, 328 Beekman Ave Bronx
7/1/2014,8:00:00 AM, 247 Audubon Ave New York
7/1/2014,8:00:00 AM, 55 W 110 St New York
7/1/2014,8:00:00 AM,Elevator 310 E 35 St New York
7/1/2014,8:00:00 AM," 4554 Park Ave Fordham, BX"
7/1/2014,8:00:00 AM," 1750 Sedgwick Ave Jerome, BX"
7/1/2014,8:00:00 AM,"voucher551 1485 Grand Concourse Tremont, BX"
7/1/2014,8:01:00 AM, 910 Riverside Dr NYC
7/1/2014,8:01:00 AM, 910 Riverside Dr W NYC
7/1/2014,8:02:00 AM,cambio $100 565 W 215 St NYC
7/1/2014,8:03:00 AM, 72 Park Ter W NYC
7/1/2014,8:03:00 AM, 546 Isham St NYC
7/1/2014,8:04:00 AM, 70 Park Ter W NYC
7/1/2014,8:05:00 AM, 5000 Broadway NYC
7/1/2014,8:07:00 AM, 225 West 232nd St Bronx
7/1/2014,8:07:00 AM, 610 Academy St NYC
7/1/2014,8:09:00 AM, 560 Isham St NYC
7/1/2014,8:10:00 AM,"td bank nw W 230th St Kingsbridge, BX"
7/1/2014,8:12:00 AM, 4960 Broadway NYC
7/1/2014,8:12:00 AM," 226 Naples Ter Kingsbridge, BX"
7/1/2014,8:13:00 AM, 240 Nagle Ave NYC
7/1/2014,8:13:00 AM," 3530 Henry Hudson Pkwy E Kingsbridge, BX"
7/1/2014,8:14:00 AM, 583 W 215 St NYC
7/1/2014,8:14:00 AM,credit card 585 W 214 St NYC
7/1/2014,8:15:00 AM, 2460 Bronxwood Ave Bronx
7/1/2014,8:15:00 AM, 515 Audubon Ave NYC
7/1/2014,8:15:00 AM, 159-64 Harlem River Dr New York
7/1/2014,8:15:00 AM," 648 Rosedale Ave Clason Point, BX"
7/1/2014,8:15:00 AM," 2007 Newbold Ave Parkchester, BX"
7/1/2014,8:15:00 AM," 9315 elbert ln Jamaica, QU"
7/1/2014,8:16:00 AM, 75 Park Ter E NYC
7/1/2014,8:16:00 AM, 60   Park Ter W NYC
7/1/2014,8:16:00 AM, 110 Post Ave NYC
7/1/2014,8:16:00 AM,hotel 2296 Frederick Douglass Blvd NYC
7/1/2014,8:16:00 AM, 506 W 213 St NYC
7/1/2014,8:18:00 AM," 2680 Heath Ave Kingsbridge, BX"
7/1/2014,8:19:00 AM," 325 E 163rd St Cortlandt, BX"
7/1/2014,8:20:00 AM, 18 Jacobus Pl NYC
7/1/2014,8:22:00 AM, 254 Seaman Ave NYC
7/1/2014,8:22:00 AM, 102 Post Ave NYC
7/1/2014,8:23:00 AM, 140 Seaman Ave NYC
7/1/2014,8:24:00 AM, 617 W 143 St NYC
7/1/2014,8:24:00 AM, 76 Adrian Ave NYC
7/1/2014,8:25:00 AM," 2075 Wallace Ave Parkchester, BX"
7/1/2014,8:25:00 AM," 1434 Ogden Ave High Bridge, BX"
7/1/2014,8:26:00 AM, 740 W 187 St NYC
7/1/2014,8:26:00 AM, 543 W 211 St NYC
7/1/2014,8:27:00 AM," 2678 Bailey Ave Kingsbridge, BX"
7/1/2014,8:28:00 AM, 50 Park Ter W NYC
7/1/2014,8:28:00 AM, 240 nagle ave NYC
7/1/2014,8:29:00 AM, 65 Fort Washington Ave NYC
7/1/2014,8:30:00 AM," 3340 Fort Independence St Kingsbridge, BX"
7/1/2014,8:30:00 AM,no jeepeta 30 Park Ter E NYC
7/1/2014,8:30:00 AM," 3755 Henry Hudson Pkwy W Kingsbridge, BX"
7/1/2014,8:30:00 AM, 740 W 187 St NYC
7/1/2014,8:30:00 AM," 1315 Merriam Ave High Bridge, BX"
7/1/2014,8:30:00 AM, 111 Mount Hope Pl Bronx
7/1/2014,8:30:00 AM," 680 Beck St South Bronx, BX"
7/1/2014,8:30:00 AM," 34-12 113th St Corona, QU"
7/1/2014,8:30:00 AM, 448 W 153 St New York
7/1/2014,8:30:00 AM, 920 E 6 St NYC
7/1/2014,8:30:00 AM," 2323 Barnes Ave Williamsbridge, BX"
7/1/2014,8:30:00 AM," 911 Walton Ave High Bridge, BX"
7/1/2014,8:30:00 AM, 2400 2 Ave NYC
7/1/2014,8:30:00 AM, 95 Malcolm X Blvd NYC
7/1/2014,8:30:00 AM," 370 Brook Ave Mott Haven, BX"
7/1/2014,8:30:00 AM, 2698 8 Ave NYC
7/1/2014,8:31:00 AM, 57 Park Ter W NYC
7/1/2014,8:31:00 AM, 201 West Kingsbridge Rd Bronx
7/1/2014,8:31:00 AM,credit card 1326 Riverside Dr NYC
7/1/2014,8:31:00 AM, 585 W 214 St NYC
7/1/2014,8:33:00 AM, 55 Park Ter E NYC
7/1/2014,8:33:00 AM," 14590 184th St Springfield Gardens, QU"
7/1/2014,8:34:00 AM," 525 W 235th St Kingsbridge, BX"
7/1/2014,8:34:00 AM," 3640 Johnson Ave Kingsbridge, BX"
7/1/2014,8:34:00 AM, 501 W 214 St NYC
7/1/2014,8:35:00 AM, 80 Seaman Ave NYC
7/1/2014,8:35:00 AM," 3725 Blackstone Ave Kingsbridge, BX"
7/1/2014,8:36:00 AM, 2612 Broadway NYC
7/1/2014,8:36:00 AM, 210 Sherman Ave NYC
7/1/2014,8:36:00 AM," 1855 Monroe Ave Tremont, BX"
7/1/2014,8:37:00 AM," 1160 Burke Ave Baychester, BX"
7/1/2014,8:38:00 AM," 515   W 236th St Kingsbridge, BX"
7/1/2014,8:38:00 AM, 30 Cooper St NYC
7/1/2014,8:39:00 AM,on riverside dr 3333 Broadway NYC
7/1/2014,8:40:00 AM, 302 W 112 St NYC
7/1/2014,8:41:00 AM, 120 W 140 St NEW YORK
7/1/2014,8:41:00 AM, 250 W 90 St NYC
7/1/2014,8:41:00 AM, 159-00 Riverside Dr NYC
7/1/2014,8:41:00 AM, 118 Post Ave NYC
7/1/2014,8:42:00 AM, 251 Sherman Ave NYC
7/1/2014,8:42:00 AM, 19 Seaman Ave NYC
7/1/2014,8:42:00 AM," 1981 Sedgwick Ave Morris Heights, BX"
7/1/2014,8:43:00 AM,BACK 150 W 225 St NYC
7/1/2014,8:44:00 AM," 3099 Heath Ave Kingsbridge, BX"
7/1/2014,8:44:00 AM, 4441 Broadway NYC
7/1/2014,8:45:00 AM," 2698 Bailey Ave Kingsbridge, BX"
7/1/2014,8:45:00 AM," 1001 University Ave High Bridge, BX"
7/1/2014,8:45:00 AM, 1001 University Ave Bronx
7/1/2014,8:45:00 AM, 526 W 174th St New York
7/1/2014,8:45:00 AM,"in the front  150 W 225th St Kingsbridge, BX"
7/1/2014,8:45:00 AM, 630 E 221st St Bronx
7/1/2014,8:45:00 AM, 316 W 95 St New York
7/1/2014,8:46:00 AM," 2630 Kingsbridge Ter Kingsbridge, BX"
7/1/2014,8:46:00 AM, 583 W 215 St NYC
7/1/2014,8:46:00 AM, 120 Vermilyea Ave NYC
7/1/2014,8:46:00 AM, 3408 giles pl Bronx
7/1/2014,8:46:00 AM, 120 Vermilyea Ave NYC
7/1/2014,8:47:00 AM, 3758 10 Ave NYC
7/1/2014,8:48:00 AM, 1057 Lexington Ave NYC
7/1/2014,8:48:00 AM, 520 W 218 St NYC
7/1/2014,8:48:00 AM, 336 West End Ave NYC
7/1/2014,8:48:00 AM, 119 Payson Ave NYC
7/1/2014,8:49:00 AM, 5141 Broadway NYC
7/1/2014,8:49:00 AM, 599 W 190 St NYC
7/1/2014,8:49:00 AM,"  611 Northern Blvd GREAT NECK, LI"
7/1/2014,8:50:00 AM, 616 Academy St NYC
7/1/2014,8:51:00 AM," 3110 Kingsbridge Ter Kingsbridge, BX"
7/1/2014,8:51:00 AM, 61 Ellwood St NYC
7/1/2014,8:52:00 AM," 3110 Kingsbridge Ter Kingsbridge, BX"
7/1/2014,8:52:00 AM," 111 Marble Hill Ave Kingsbridge, BX"
7/1/2014,8:53:00 AM," 226 W 242nd St Riverdale, BX"
7/1/2014,8:53:00 AM," 3601 Johnson Ave Kingsbridge, BX"
7/1/2014,8:56:00 AM, 580 West 215 St NYC
7/1/2014,8:56:00 AM, 70 Park Ter E NYC
7/1/2014,8:56:00 AM, 170 William St New York
7/1/2014,8:57:00 AM, 260 Seaman Ave NYC
7/1/2014,8:57:00 AM, 34 Hillside Ave NYC
7/1/2014,8:57:00 AM, 623 W 207 St NYC
7/1/2014,8:58:00 AM," 696 Elton Ave South Bronx, BX"
7/1/2014,8:59:00 AM, 31 Arden St NYC
7/1/2014,9:00:00 AM," 2426 Eastchester Rd Baychester, BX"
7/1/2014,9:00:00 AM," 1820 Loring Pl S Morris Heights, BX"
7/1/2014,9:00:00 AM, 690 E 138th St Bronx
7/1/2014,9:00:00 AM," 1709 E 172nd St Soundview, BX"
7/1/2014,9:00:00 AM," 2419 Davidson Ave Jerome, BX"
7/1/2014,9:00:00 AM, 1148 Fteley Ave Bronx
7/1/2014,9:00:00 AM," 35-10 150th St Flushing, QU"
7/1/2014,9:00:00 AM," 115-12 123rd St South Ozone Park, QU"
7/1/2014,9:00:00 AM," 86-60 108th St Richmond Hill, QU"
7/1/2014,9:00:00 AM," 111-11 153rd St Jamaica, QU"
7/1/2014,9:00:00 AM," 111 W 183rd St Morris Heights, BX"
7/1/2014,9:00:00 AM, 195 Nagle Ave NYC
7/1/2014,9:00:00 AM," 40-05 Ithaca St Elmhurst, QU"
7/1/2014,9:00:00 AM," 3758 E Tremont Ave Throgs Neck, BX"
7/1/2014,9:00:00 AM," 147-53 72nd Dr Flushing, QU"
7/1/2014,9:00:00 AM, 601 West 176 St NEW YORK
7/1/2014,9:00:00 AM," 546 Main St Kew Gardens Hills, QU"
7/1/2014,9:01:00 AM, 110 Seaman Ave NYC
7/1/2014,9:01:00 AM, 89 Seaman Ave NYC
7/1/2014,9:01:00 AM, 810 W 183 St NYC
7/1/2014,9:02:00 AM, 250 Fort Washington Ave NYC
7/1/2014,9:03:00 AM, 240 Cabrini Blvd NYC
7/1/2014,9:04:00 AM, 581 Academy St NYC
7/1/2014,9:04:00 AM, 4871 Broadway NYC
7/1/2014,9:05:00 AM, 33 Indian Rd NYC
7/1/2014,9:05:00 AM, 425 W 205 St NYC
7/1/2014,9:06:00 AM,"STAPLES NW Broadway Kingsbridge, BX"
